KiCad_X_mm,KiCad_Y_mm,Nominal_pre_fill_bore_mm,Copper_land_mm,Net,UUID,Required_finish
64.4,38.05,0.2,0.45,/GND,d1cab01f-cdf3-4029-906c-a95d896a63ce,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
58.1813,33.6144,0.2,0.45,/GND,d57797b2-3172-4717-bded-2273ec037d4b,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
30.75,26.5,0.2,0.45,/GND,da22c3df-fd28-4cf9-9a7f-c8a9ee7b88de,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
28.71,29.96,0.2,0.45,/GND,da319389-798c-4060-8b65-93e28f944c0f,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
30.0,31.3,0.2,0.45,/GND,ddef53a1-d424-4fba-b05c-6193928a1d62,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
36.3,24.28,0.2,0.45,/GND,de23fa47-c1bb-4d45-8126-2eb45a43c7a2,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
29.95,26.175,0.2,0.45,/GND,e3fd05e9-c9a5-420b-88a3-e7fbb7e512c5,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
28.85,25.5,0.2,0.45,/GND,e76f5152-fd10-40be-b638-20a861fa0614,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
65.15,33.975,0.2,0.45,/GND,eb267ec0-c582-4860-a9f4-38a1bd771a70,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
48.05,37.45,0.2,0.45,/GND,ed8d0442-76df-40c5-8ad5-9cdd730a76ee,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
44.5396,23.0807,0.2,0.45,/GND,edbfc9b4-7289-469b-aad1-74b85475b3f6,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
42.5,33.75,0.2,0.45,/2V5_AUX,37916104-b44e-4916-b844-9760119edd30,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
30.5,25.95,0.2,0.45,/VBAT,0b438536-cfe6-41a6-a34a-7194a1f5c4df,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
32.0,26.45,0.2,0.45,/VBAT,1742339d-b2dc-4a58-af37-533861564fda,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
27.65,29.04,0.2,0.45,/USB_D+,a4949c28-21cd-4562-9b15-ad5acb4c806e,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
27.56,30.34,0.2,0.45,/USB_D+,af516f2d-e446-4722-8a16-ee45c9a18784,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
28.15,30.95,0.2,0.45,/USB_D-,1b845453-cb7d-4306-9830-59b814f433a2,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
27.47,29.72,0.2,0.45,/USB_D-,c4c3053c-7b71-4e77-a68a-5cfbb2631a5e,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
35.6,23.6,0.2,0.45,/I2C_SDA,018c7b05-7323-49c8-8018-c620a4b53e9c,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
