Reference,Value,Manufacturer,MPN,Footprint,Populate,Procurement review
R6,100k 1%,Yageo,RC0402FR-07100KL,Anticipy_E1_Release:R6__R_0402_1005Metric,YES,Released exact MPN
R7,10k 1%,Yageo,RC0402FR-0710KL,Anticipy_E1_Release:R7__R_0402_1005Metric,YES,Released exact MPN
R8,100R 1%,Yageo,RC0402FR-07100RL,Anticipy_E1_Release:R8__R_0402_1005Metric,YES,Released exact MPN
R9,100R 1%,Yageo,RC0402FR-07100RL,Anticipy_E1_Release:R9__R_0402_1005Metric,NO,Do not place
SW1,B3U-1000P,Omron,B3U-1000P,Anticipy_E1_Release:SW1__SW_SPST_B3U-1000P,YES,Released exact MPN
TH1,10k 1% external NTC,TDK,B57540G1103F000,Anticipy_E1_Release:TH1__WirePads_2_P1.27mm,EXTERNAL,External final assembly; see External_Assembly_BOM.csv
TP1,SWDIO,Anticipy,TESTPAD,Anticipy_E1_Release:TP1__PogoPad_D1.0mm,NO,Do not place
TP10,VSYS,Anticipy,TESTPAD,Anticipy_E1_Release:TP10__PogoPad_D1.0mm,NO,Do not place
TP11,VBUSOUT,Anticipy,TESTPAD,Anticipy_E1_Release:TP11__PogoPad_D1.0mm,NO,Do not place
TP12,2V5_AUX,Anticipy,TESTPAD,Anticipy_E1_Release:TP12__PogoPad_D1.0mm,NO,Do not place
TP13,3V_MIC,Anticipy,TESTPAD,Anticipy_E1_Release:TP13__PogoPad_D1.0mm,NO,Do not place
TP14,PMIC_INT,Anticipy,TESTPAD,Anticipy_E1_Release:TP14__PogoPad_D1.0mm,NO,Do not place
TP2,SWDCLK,Anticipy,TESTPAD,Anticipy_E1_Release:TP2__PogoPad_D1.0mm,NO,Do not place
TP3,RESET,Anticipy,TESTPAD,Anticipy_E1_Release:TP3__PogoPad_D1.0mm,NO,Do not place
TP4,3V_MAIN,Anticipy,TESTPAD,Anticipy_E1_Release:TP4__PogoPad_D1.0mm,NO,Do not place
TP5,GND,Anticipy,TESTPAD,Anticipy_E1_Release:TP5__PogoPad_D1.0mm,NO,Do not place
TP6,UART_TX,Anticipy,TESTPAD,Anticipy_E1_Release:TP6__PogoPad_D1.0mm,NO,Do not place
TP7,UART_RX,Anticipy,TESTPAD,Anticipy_E1_Release:TP7__PogoPad_D1.0mm,NO,Do not place
TP8,VBAT,Anticipy,TESTPAD,Anticipy_E1_Release:TP8__PogoPad_D1.0mm,NO,Do not place
TP9,VBUS,Anticipy,TESTPAD,Anticipy_E1_Release:TP9__PogoPad_D1.0mm,NO,Do not place
U1,MDBT50Q-1MV2,Raytac,MDBT50Q-1MV2,Anticipy_E1_Release:U1__Raytac_MDBT50Q_R0B,YES,Released exact MPN
U2,nPM1300,Nordic Semiconductor,NPM1300-QEAA-R,Anticipy_E1_Release:U2__nPM1300_QFN32_Reference,YES,Released exact MPN
U4,TPD2EUSB30ADRTR,Texas Instruments,TPD2EUSB30ADRTR,Anticipy_E1_Release:U4__Texas_DRT-3_R0B,YES,Released exact MPN
U5,MX35LF4GE4AD-Z4I,Macronix,MX35LF4GE4AD-Z4I,Anticipy_E1_Release:U5__WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,YES,Released exact MPN
U6,TPD2E2U06DCKR,Texas Instruments,TPD2E2U06DCKR,Anticipy_E1_Release:U6__TI_DCK_SC70_3_R0B,YES,Released exact MPN
